Gene,MCF10A_Hypoxia_Log2,MCF12A_Hypoxia_Log2
A1BG,0.235340629,0.461277636
A1CF,-0.013502893,0.008796511
A2M,-0.019980713,0
A2ML1,0.413922564,1.557583202
A4GALT,0.731883856,-0.032198622
AAAS,-0.419999084,0.223899783
AACS,0.185492367,0.77607791
AADAT,-0.07866792,-0.004614588
AAED1,0.25121714,0.063102189
AAGAB,-0.732761293,0.145662667
AAK1,0.406380093,0.274054163
AAMDC,0.300839194,0.354413858
AAMP,-0.470934801,0.185322287
AANAT,0.009713097,0.014997737
AAR2,-0.067509632,-0.542981173
AARD,-0.048615716,0.051545212
AARS,-0.677446302,-1.706784071
AARS2,-0.218193739,-0.900007035
AARSD1,-0.456070672,-0.054710789
AASDH,0.243903455,-0.028324035
AASDHPPT,-0.279849239,-0.758792297
AASS,0.321754524,-0.003526528
AATF,-0.077324943,0.60720622
AATK,-0.124925952,-0.164319861
ABAT,0.009549302,0.047438131
ABCA1,0.050295978,-0.389856891
ABCA10,0.408319042,0.120446758
ABCA11P,0.157067932,-0.17706704
ABCA12,1.454364565,-0.408870993
ABCA13,-0.023595731,-0.091631104
ABCA2,0.588435533,0.108554062
ABCA3,0.054104091,0.080474581
ABCA4,0,0
ABCA5,0.136918664,0.124588899
ABCA6,0.324950929,-0.010115771
ABCA7,0.102365059,0.308357491
ABCA8,-0.013300884,0.054102726
ABCA9,0.079209879,0.044345119
ABCB1,0,-0.012482956
ABCB10,-0.361175627,-0.029213649
ABCB4,-0.028142811,0.014997737
ABCB6,0.262713963,0.726087727
ABCB7,0.363320875,0.678259433
ABCB8,-0.790020511,0.396469835
ABCB9,0.465564354,0.132844724
ABCC1,0.012016473,0.080506481
ABCC10,-0.452405365,-0.087671027
ABCC11,0.05984231,-0.026979537
ABCC2,-0.523886743,-1.306470457
ABCC3,0.254078723,-0.257257742
ABCC4,-0.282961758,-0.046699961
ABCC5,-0.326110091,-0.237112875
ABCC6,0.004491988,-0.019098685
ABCC8,0,-0.006254995
ABCC9,0.136392653,0.019947524
ABCD1,0.477453066,0.224296783
ABCD3,-0.430902006,0.511482962
ABCD4,-0.027771924,0.000966221
ABCE1,-0.513860183,-1.029971544
ABCF1,-0.669685165,-1.197997726
ABCF2,-1.088310523,-0.57445473
ABCF3,0.181200709,-0.529206826
ABCG1,0.471341382,-0.052789692
ABCG2,-0.023595731,-0.018684233
ABCG4,0,-0.012482987
ABHD1,0.020549812,-0.03101814
ABHD10,-0.179061391,-0.033990128
ABHD11,-0.26193814,-0.588224443
ABHD12,-0.28708574,1.109516622
ABHD12B,0.092930534,0.281937476
ABHD13,-0.350179682,-0.486108686
ABHD14A,-0.063157769,0.12541063
ABHD14B,-0.020902914,0.663681838
ABHD15,-0.414859006,-0.815418409
ABHD16A,-0.327401428,0.242295554
ABHD17A,-0.014750105,0.561631922
ABHD17B,-0.013120382,0.584525456
ABHD17C,0.004560027,-0.34996886
ABHD18,0.292289337,0.176410426
ABHD2,0.175286926,0.615891117
ABHD3,-0.293439723,0.238829191
ABHD4,0.25482458,1.448021913
ABHD5,-0.44685934,0.206485249
ABHD6,-0.504723609,-0.240366142
ABHD8,0.156082572,0.45734998
ABI1,0.589745361,1.279571862
ABI2,0.368296635,0.233431307
ABI3BP,-0.011864792,0.17402653
ABL1,0.487278881,0.909662776
ABL2,1.103571684,-0.301866643
ABLIM1,0.39780166,-0.279544291
ABLIM2,-0.223189032,-0.134914879
ABLIM3,1.329680534,0.488428337
ABO,0.17637482,0.427568246
ABR,0.413768682,0.090678413
ABRACL,-0.593114324,1.001196798
ABT1,-0.338594915,-0.744180821
ABTB1,-0.147016162,0.024478988
ABTB2,0.12965844,0.007780416
ACAA1,-0.35907522,0.259167056
ACAA2,0.098711571,0.547256596
ACACA,0.205769774,-0.009898406
ACACB,0.568612539,0.187553926
ACAD10,0.291050298,-0.134121426
ACAD11,0.387402253,0.600480157
ACAD8,-0.387509959,0.039397126
ACAD9,-0.434416298,-0.516649784
ACADL,-0.01519615,-0.012482987
ACADM,-0.145396908,-0.616085421
ACADS,-0.096194109,-0.032166523
ACADSB,0.047270731,0.029687411
ACADVL,0.443715016,0.986985069
ACAN,0,-0.006256118
ACAP1,0.184601165,-0.072392409
ACAP2,0.466457737,0.457718407
ACAP3,0.18211822,0.479254348
ACAT1,-0.271529015,0.266626755
ACAT2,0.452418271,1.103273623
ACBD3,0.447931522,1.202636489
ACBD4,-0.093135686,-0.458198859
ACBD5,0.248380493,1.112693557
ACBD6,-0.113723178,-0.022231578
ACBD7,0.116755789,0.008435983
ACCS,-0.141778116,-0.199712154
ACD,-0.238734247,-0.018739635
ACE,0.008448575,0.033989022
ACE2,0.016750541,-0.018684184
ACER2,-0.010279119,0.261936544
ACER3,1.049287362,0.535797212
ACHE,0.008399581,-0.049296685
ACIN1,0.236382623,-0.00203059
ACKR2,-0.031375618,0.025577961
ACKR3,0.180316323,0.027642086
ACKR4,0.008399581,-0.012482987
ACLY,0.382266531,0.547089655
ACMSD,0,-0.006254995
ACO1,-0.061444862,0.130319158
ACO2,-0.302954365,0.276516276
ACOT1,-0.131274562,0.026673018
ACOT11,0.408732795,-0.259434823
ACOT13,-0.201096123,0.163459431
ACOT2,-0.222201779,-0.050822984
ACOT4,-0.01519615,-0.02485889
ACOT7,-0.38704017,0.793344781
ACOT8,-0.106058862,0.212333068
ACOT9,0.068157703,0.086100283
ACOX1,0.128962166,0.014357145
ACOX2,0.137413418,-0.003526532
ACOX3,0.15935642,-0.450074786
ACOXL,0,-0.042489792
ACP1,-0.218026907,0.711025143
ACP2,-0.50916893,-0.256230426
ACP5,0.034199556,0.15110873
ACP6,-0.043756937,-0.281800677
ACP7,-0.006603815,-0.047123158
ACPP,-0.003794156,-0.006922326
ACPT,-0.052909538,-0.006254995
ACRBP,-0.023595731,0.035763682
ACRV1,-0.013503012,-0.012483005
ACSBG1,0.01427046,-0.010401146
ACSBG2,0.008399581,-0.012482987
ACSF2,0.143817899,0.148236544
ACSF3,-0.16073077,-0.149153324
ACSL1,0.228067704,0.310697504
ACSL3,0.067640174,0.615562829
ACSL4,0.717150922,1.034961127
ACSL5,0.041062918,-0.01330526
ACSL6,-0.061180323,-0.001708071
ACSM1,-0.023595731,0.014997737
ACSM2A,0.078592976,-0.067173491
ACSM2B,-0.013357501,0.021718329
ACSM3,-0.040714698,0.084738075
ACSM4,0,0.054447759
ACSM6,-0.021758308,0.014650012
ACSS1,-0.056503685,0.041678868
ACSS2,0.859058399,1.641850769
ACSS3,-0.01519615,-0.006254995
ACTA1,0,0.027497056
ACTA2,0.823051188,0.84935481
ACTB,-0.52524254,0.076207172
ACTBL2,0.008399581,-0.018684209
ACTG1,0.175858632,0.77302816
ACTG2,-0.010551058,-0.006254995
ACTL10,-0.31562042,-0.23539983
ACTL6A,-0.837186981,-0.100596579
ACTL8,-0.092152189,0
ACTN1,0.141827848,-0.62860958
ACTN2,0.008399581,0
ACTN3,0.016750541,0
ACTN4,0.119876561,0.315032107
ACTR10,-0.09121128,0.057331203
ACTR1A,-0.690746988,0.52226269
ACTR1B,0.06052885,0.22689063
ACTR2,0.054973871,0.387543962
ACTR3,0.03699394,0.669416693
ACTR3B,-0.23098367,-0.039091865
ACTR3C,-0.002958904,0.023510081
ACTR5,-0.15177182,-0.221350691
ACTR6,-0.009085891,0.245375499
ACTR8,0.095096043,-0.095546448
ACTRT3,-0.228939471,-0.097766398
ACVR1,-0.039569816,0.539145322
ACVR1B,0.36808083,0.324192391
ACVR1C,-0.005294502,0.163224852
ACVR2A,0.188617668,0.187160333
ACVR2B,0.389393892,-0.371122495
ACVRL1,-0.015167758,0
ACY1,-0.745262299,-0.151510884
ACY3,0,0
ACYP1,-0.112942504,0.171687125
ACYP2,-0.026294778,0.17857165
ADA,-0.007508464,0.487023866
ADAL,-0.130514456,0.160521857
ADAM10,0.6530269,0.258742988
ADAM11,0.001457709,-0.061362045
ADAM12,1.621946557,0.872699143
ADAM15,0.402855141,1.223983207
ADAM17,0.679902101,0.584682617
ADAM19,1.306636982,0.447862117
ADAM21,-0.008639723,0.008125344
ADAM22,0.016750541,0.174483419
ADAM23,-0.023595731,-0.006254995
ADAM28,0.166871443,-0.031007268
ADAM29,-0.046811747,0
ADAM32,0.268635241,0.057651217
ADAM33,0,-0.006259364
ADAM8,0.355802352,0.727240145
ADAM9,0.696103361,1.116301842
ADAMTS1,0.01387935,0.307749666
ADAMTS10,0,0
ADAMTS12,0.270869879,0.045552969
ADAMTS13,0.044387328,-0.187382499
ADAMTS14,0.057795295,0.031623221
ADAMTS15,-0.003794132,0.019557875
ADAMTS16,-0.038412167,0.027887023
ADAMTS17,-0.00684519,0
ADAMTS18,0.033508435,0
ADAMTS2,0.01729026,0.037087927
ADAMTS3,-0.005294502,0
ADAMTS4,0.08547786,0.037765949
ADAMTS6,0.193783938,-0.015745235
ADAMTS7,-0.130593658,0.322137161
ADAMTS9,0.272047711,0.008796515
ADAMTSL1,0.008399581,0.027480724
ADAMTSL3,-0.040895243,0.061647347
ADAMTSL4,0.8902239,-0.103227627
ADAMTSL4-AS1,0.090568315,-0.151604006
ADAMTSL5,0.137259445,0.093884145
ADAP1,0.007907466,0.65045886
ADAP2,-0.011993143,0.013612362
ADAR,-0.228391415,-0.564797612
ADARB1,-0.060533886,0.038749125
ADARB2,0.484783531,-0.0065007
ADAT1,-0.33368996,-0.849199894
ADAT2,-0.021354686,-0.585555994
ADAT3,-0.074912692,-0.108092249
ADCK1,-0.468406759,-0.43957801
ADCK2,0.054896813,0.348533739
ADCK5,-0.42403518,-0.507639561
ADCY1,-0.075401648,-0.00089127
ADCY10,0.057795287,0.094432173
ADCY2,0.028758687,0.008790203
ADCY3,-0.6645876,-0.613180338
ADCY4,0,-0.006254993
ADCY5,-0.00684519,-0.044128395
ADCY6,0.476821611,0.559867695
ADCY7,0.574689266,-0.460052675
ADCY9,0.277479212,0.320021414
ADD1,-0.042103806,0.412678071
ADD2,0.255113208,0.154298244
ADD3,0.839068306,1.051591304
ADGB,0.174021433,0.062535753
ADGRA2,-0.009013163,0.0075162
ADGRA3,-0.224046799,-0.723161013
ADGRB1,-0.038412167,-0.039876429
ADGRB2,-0.163453707,0.012470372
ADGRD1,0,-0.009651923
ADGRD2,0.009844998,-0.011830072
ADGRE2,0.825130645,0.041401801
ADGRF1,0.105298953,0.003393112
ADGRF2,0.028010334,-0.006254995
ADGRF3,0,-0.052167646
ADGRF4,0.260234586,-0.167706546
ADGRF5,0.008399581,0.054447759
ADGRG1,0.252053072,-0.080662002
ADGRG2,0.042545913,0.196711226
ADGRG3,0.057795287,0.014997737
ADGRG6,0.615691794,0.090616617
ADGRL1,-0.479073169,0.188085794
ADGRL2,-0.142387427,-0.021110002
ADGRL3,-0.048433021,-0.018684209
ADGRV1,-0.001814251,-0.037205406
ADH1B,-0.370832813,-0.006254995
ADH4,0.036455782,0.016390128
ADH5,-0.257091461,0.06045564
ADH6,0.002867477,-0.03712953
ADHFE1,0.136539464,-0.012322259
ADI1,-0.295717122,0.659320629
ADIPOQ,-0.029584108,0.025522919
ADIPOR1,0.158372591,1.440861671
ADIPOR2,0.292956347,1.022447187
ADIRF,0.064230763,0.840626818
ADK,-0.107936685,0.811624699
ADM,1.578857871,5.750893884
ADM2,0.225829116,-0.32602828
ADM5,0.040619067,0.181764778
ADNP,0.731991508,-0.127785386
ADNP2,-0.027752078,-0.255506824
ADO,-0.047828544,-1.537275619
ADORA1,-0.235381631,0
ADORA2A,0.066214813,0.074664964
ADORA2A-AS1,-0.075401648,0.021225729
ADORA2B,-0.328543903,-0.12448641
ADPGK,-0.332455845,-0.29117916
ADPRH,0,-0.073496161
ADPRHL1,0.126110105,2.026530369
ADPRHL2,0.166555528,-0.125263315
ADPRM,0.113111735,0.511088135
ADRA1A,0.008399581,-0.006529343
ADRA1B,0.002867477,0.16266511
ADRA1D,0.008399581,0
ADRA2B,0.008399581,0
ADRA2C,0.008399581,0.014997737
ADRB1,0.003283235,0.063689221
ADRB2,0.114954434,-0.475491407
ADRM1,-0.666807776,0.165676126
ADSL,-0.258587169,0.316116284
ADSS,-0.414207782,-0.699073446
ADSSL1,3.256516269,3.210209878
ADTRP,0.208523277,-0.038764475
AEBP1,-0.01519615,-0.012482987
AEBP2,0.570907078,0.199349713
AEN,-0.802207491,-0.785080803
AES,0.305257851,1.035351726
AFAP1,1.298453464,1.199807009
AFAP1L1,0.677609471,0.921229327
AFAP1L2,0.224335054,-0.070881717
AFDN,0.633746883,0.84102757
AFDN-AS1,0.10575211,0.262341247
AFF1,0.716026721,0.597937768
AFF2,0,-0.012482987
AFF3,0,-0.007499151
AFF4,0.929825616,0.256259575
AFG3L2,-0.46475235,-0.048867145
AFMID,0.072259143,0.25222939
AFTPH,0.066315579,0.378821403
AGA,0.006180421,0.29013098
AGAP1,0.503379434,0.928239253
AGAP11,0.136457341,-0.030739944
AGAP2,-0.001728908,-0.07536906
AGAP3,-0.314587388,0.327778111
AGAP4,0.26706533,-0.030021553
AGAP5,0.121561077,-0.298554517
AGAP6,-0.208113172,-0.614324625
AGAP7P,0,-0.047252724
AGAP9,0.13616567,-0.108478235
