Gene,MCF10A_1percent,MCF10A_20percent,MCF12A_1percent,MCF12A_20percent
A1BG,36.99315,2,45.16942,82.2258
A1CF,4.00000079,1.999999126,1.000000136,3.00000129
A2M,6.000009,2.999997,0,0
A2ML1,87.03987,8.008116,1719.99969,2434.17425
A4GALT,812.00014,148.99996,70,322
AAAS,399.99965,209.99981,165.9997113,596.0003813
AACS,746.10916,225.00848,491.23792,1173.86085
AADAT,39.0462967,18,5.99999987,27.3778401
AAED1,187.92337,46.2184,49.01478,197.80136
AAGAB,185.00046,149.00002,119,454
AAK1,412.05411,95.204506,262.54149,921.1347
AAMDC,71.01728,9,22.86384,29.02308
AAMP,859.00004,444.99991,308.99976,1174.9993
AANAT,4,1,1,2
AAR2,293.9998,111.99953,58.99998,485.6316
AARD,18.93169,9.011949,5,13.2752
AARS,710.99948,438.99958,136.00027,2486.00417
AARS2,175.02889,82,49,604.01943
AARSD1,134.65311,87.95669,89.00002664,418.026
AASDH,172.00001,41.999993,31.999958,148.999924
AASDHPPT,462.876,211.97603,54,563.68265
AASS,177.02422,38.03136,1,4.999999311
AATF,869.00026,327.99974,433.00014,1179.00152
AATK,35.000004,19.000044,1,32.72426
ABAT,18.19396,6,8.188708,27.62558
ABCA1,9,1,7,112
ABCA10,104.74746,13,11.000001,26.35128
ABCA11P,19.69793,0,1.33782,36.7476
ABCA12,1544.00088,161,334.0000002,2038.004
ABCA13,0,1,0,15.09173
ABCA2,1495.999909,332.0003371,348.9998395,1415.999097
ABCA3,29.99997673,8,7.999998,20.99998
ABCA4,0,0,0,0
ABCA5,97.783676,26.000011,37,131.1689
ABCA6,296.02632,71.45386,3.000921,14.99465
ABCA7,243.99985,76.32978365,105.0000025,331.00036
ABCA8,4.024545,2,2.45624,2.000001
ABCA9,30.64191,7.030966,3.0636,6.18219
ABCB1,0,0,0,1.999995
ABCB10,382.00047,191,109,497.00001
ABCB4,5,2.999999,1,2
ABCB6,324.653037,85.72644,119.0000207,227.38771
ABCB7,554.0005,139,130.99995,275.999951
ABCB8,242.9998522,192.9999741,227.99986,711.33207
ABCB9,92.52202657,7.000004,47.98720884,173.45776
ABCC1,944.0004,331.00006,384.99973,1598.9996
ABCC10,213.99988,126.025492,149.00051,715.19935
ABCC11,10.19672763,1,1,8.853884313
ABCC2,142.29608,99,153.003535,2013.99532
ABCC3,2542.02867,745.00036,224.9589743,1234.92831
ABCC4,190.00039,95,96.99997,451.00875
ABCC5,301.00009,148.999957,188.99961,1027.030591
ABCC6,6.19971,2,4,21.00654
ABCC8,0,0,0,1
ABCC9,20.3846,1.09656,3.36598,11.5327
ABCD1,193.0004,31.99997,22.99998,54.00001
ABCD3,406.1742,215.00039,188.00019,515.0001
ABCD4,315.405194,115.03622,69.25444,306.154385
ABCE1,1103.996463,584.14457,190.00045,1956.96359
ABCF1,540.00354,339.9995,104.23854,1356.29306
ABCF2,420.612,384.98547,322.99989,2241.3579
ABCF3,483.999602,144.00006,155.00007,1092.00028
ABCG1,117.07166,13,11,59.07669249
